Šifra stranke,Naziv,E-pošta,Tel. številko,Uporabniki,Skupina (Magento),Cenik,Plačnik,Popust polno pakiranje,Vrednostni rabat,Rabat prag 1,Rabat % 1,Rabat prag 2,Rabat % 2,Rabat prag 3,Rabat % 3,B2B+,Skupine popustov,Popust NW
0000014,Sparkasse d.d.,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0000040,PETER JAKLIČ S.P.,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0000049,URMET d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000054,ZOTTER GMBH,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0000127,Martin Hočevar s.p.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000132,Aljaž Košak s.p.,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0000134,Elcon s.r.l. Dostava,,,,,,0000560|,0,0,800,1,1500,2,3000,3,0,,
0000140,APOLIS d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000145,ETREL d.o.o.,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000147,"Lampa LV SIA  ""ATTA-1""",,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000153,Smartsheet Inc.,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000158,ELEKTRO TIM D.O.O.,,,,,,0001053|,0,0,800,1,1500,2,3000,3,0,,
0000159,TOPMART d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000160,Self Electronics Germany GmbH,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000186,HOTEL GROSUPLJE d.o.o.,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000189,Bojan Kresal s.p.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000191,EKO STIL d.o.o.,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000192,OPARA D.O.O.,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000200,"ELVAM-N, d.o.o.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000205,DIEM d.o.o.,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000207,"Shenzen 2 in1 Technology Co., Ltd",,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000209,"EURO M&M, d.o.o.",,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000211,Matej Stražišnik s.p.,,,,,,0001053|,0,0,800,1,1500,2,3000,3,0,,
0000212,PRŠUTARNA S' KRASA d.o.o.,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000219,MIT-GS d.o.o.,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000240,GVS d.o.o.,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000247,"GVO, d.o.o.",,,,,,,0,0,800,1,1500,2,3000,3,0,,
0000253,ABL GmbH,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000259,AGROGRAD d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000303,AMOS d.o.o. Ljubljana,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000324,ANTILA d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0000326,"ANTON SELIČ, S.P.",,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0000327,"ANTON SELIČ, S.P.",,,,,B2C,0001053|,0,0,800,1,1500,2,3000,3,0,,
